"Protectionism" "Education" "Income" "Female" "Age" "Country" "Continent"
1 9 3 1 5 2 1
1 12 2 0 1 2 1
1 12 2 0 1 2 1
1 12 3 1 2 2 1
0 16 3 0 2 2 1
1 14 3 1 1 2 1
0 12 3 1 2 2 1
1 12 3 1 3 2 1
1 12 3 0 5 2 1
1 12 2 0 1 2 1
1 12 3 1 4 2 1
1 13 3 1 1 2 1
1 12 2 0 3 2 1
1 13 4 0 2 2 1
0 12 3 1 2 2 1
1 12 3 0 1 2 1
1 14 3 1 2 2 1
1 16 4 1 4 2 1
0 12 3 0 4 2 1
1 14 2 0 2 2 1
0 12 2 0 2 2 1
0 12 2 0 1 2 1
0 16 3 1 3 2 1
0 14 3 1 1 2 1
1 16 3 0 2 2 1
1 9 1 0 3 2 1
1 12 3 1 2 2 1
0 6 3 1 3 2 1
0 16 4 0 3 2 1
1 0 3 1 5 2 1
1 3 3 1 5 2 1
1 14 3 0 1 2 1
1 16 3 0 3 2 1
0 12 3 0 2 2 1
1 12 3 1 2 2 1
1 12 3 1 4 2 1
0 12 3 1 1 2 1
1 14 3 0 1 2 1
1 16 4 1 3 2 1
1 16 3 0 2 2 1
1 6 2 0 6 2 1
1 14 1 1 3 2 1
1 12 3 0 3 2 1
0 9 3 1 5 2 1
1 12 3 0 2 2 1
0 9 3 1 2 2 1
1 6 2 1 4 2 1
1 9 3 1 4 2 1
1 12 2 0 1 2 1
1 12 3 0 2 2 1
1 12 2 0 2 2 1
1 12 2 0 1 2 1
1 12 3 1 3 2 1
1 16 4 0 2 2 1
1 12 3 1 3 2 1
1 6 3 1 5 2 1
1 12 2 1 4 2 1
1 12 1 0 2 2 1
1 14 2 0 6 2 1
0 17 3 0 2 2 1
1 14 2 0 1 2 1
1 12 1 0 3 2 1
1 9 3 1 5 2 1
1 9 2 0 4 2 1
0 12 4 0 3 2 1
1 12 2 0 4 2 1
1 6 3 0 5 2 1
1 16 2 0 3 2 1
1 6 4 1 5 2 1
1 12 2 1 2 2 1
1 12 5 0 1 2 1
0 14 2 1 3 2 1
1 9 3 0 6 2 1
0 16 3 0 3 2 1
0 6 4 0 5 2 1
1 12 3 1 2 2 1
1 16 3 0 2 2 1
1 12 3 1 3 2 1
0 9 4 1 4 2 1
1 12 2 1 1 2 1
0 16 3 0 1 2 1
1 10 3 1 4 2 1
0 12 3 0 1 2 1
0 14 3 1 1 2 1
0 12 3 1 1 2 1
1 16 2 0 1 2 1
1 16 3 1 1 2 1
1 12 3 1 2 2 1
1 12 2 1 2 2 1
1 16 2 1 2 2 1
1 12 2 1 2 2 1
1 16 2 0 2 2 1
1 16 2 0 5 2 1
0 9 2 1 5 2 1
0 12 3 0 5 2 1
0 12 3 0 5 2 1
0 0 2 0 6 2 1
NaN 0 1 1 6 2 1
1 15 3 0 2 2 1
0 16 2 0 3 2 1
0 12 2 0 3 2 1
1 16 4 0 3 2 1
0 14 3 0 3 2 1
1 16 4 0 4 2 1
1 9 3 0 4 2 1
0 18 3 0 4 2 1
0 6 1 0 4 2 1
1 16 4 0 4 2 1
1 12 3 1 1 2 1
0 11 3 1 1 2 1
1 12 1 0 1 2 1
1 13 3 0 1 2 1
1 16 3 1 1 2 1
1 12 1 1 1 2 1
0 12 2 1 1 2 1
0 12 2 1 1 2 1
1 12 2 1 1 2 1
0 12 3 1 1 2 1
0 14 3 1 1 2 1
0 13 2 0 1 2 1
0 14 3 0 1 2 1
1 12 3 0 1 2 1
1 14 4 0 1 2 1
0 12 2 0 1 2 1
0 12 1 0 1 2 1
0 14 4 0 1 2 1
1 16 3 1 2 2 1
1 12 3 1 2 2 1
1 12 2 1 2 2 1
1 12 2 1 2 2 1
0 16 3 1 2 2 1
1 12 2 1 2 2 1
1 16 2 1 2 2 1
1 12 2 1 2 2 1
1 14 3 0 2 2 1
1 16 2 0 2 2 1
1 16 3 0 2 2 1
0 16 3 0 2 2 1
1 12 1 0 2 2 1
0 14 3 0 2 2 1
0 12 3 0 2 2 1
1 19 3 0 2 2 1
1 19 3 0 2 2 1
1 9 2 1 3 2 1
0 14 2 1 3 2 1
0 12 1 1 3 2 1
1 12 3 1 3 2 1
0 12 1 1 3 2 1
1 12 1 1 3 2 1
0 12 4 1 3 2 1
1 9 3 1 3 2 1
1 12 3 1 3 2 1
0 16 3 0 3 2 1
1 12 2 0 3 2 1
0 9 2 0 3 2 1
1 12 3 0 3 2 1
1 12 2 0 3 2 1
1 9 3 0 3 2 1
1 12 2 0 3 2 1
1 12 3 0 3 2 1
1 14 4 1 4 2 1
1 9 2 1 4 2 1
1 6 3 1 4 2 1
1 9 1 1 4 2 1
1 12 4 1 4 2 1
1 12 3 0 4 2 1
1 12 3 0 4 2 1
1 12 4 0 4 2 1
0 9 3 0 4 2 1
0 12 1 0 4 2 1
1 5 3 1 6 2 1
1 1 2 0 6 2 1
1 12 3 1 5 2 1
1 0 1 1 5 2 1
1 6 1 1 5 2 1
1 6 1 1 5 2 1
1 9 3 0 5 2 1
1 9 1 0 5 2 1
1 12 3 0 5 2 1
0 16 2 0 4 2 1
1 6 2 1 4 2 1
1 6 1 1 4 2 1
0 16 2 0 3 2 1
0 14 2 0 3 2 1
0 12 2 1 3 2 1
0 0 2 1 3 2 1
1 12 2 1 3 2 1
0 14 3 0 5 2 1
0 12 3 0 5 2 1
1 1 2 1 5 2 1
1 6 2 1 5 2 1
1 12 2 1 6 2 1
1 12 2 0 1 2 1
0 12 3 1 1 2 1
1 12 1 0 1 2 1
1 13 3 0 1 2 1
1 12 2 0 1 2 1
1 16 3 0 1 2 1
1 12 2 0 1 2 1
1 14 2 1 1 2 1
0 12 3 1 1 2 1
1 12 2 1 1 2 1
1 14 2 1 1 2 1
0 16 2 1 1 2 1
1 16 2 0 2 2 1
0 16 4 0 2 2 1
0 16 4 0 2 2 1
1 12 1 0 2 2 1
1 16 3 0 2 2 1
0 12 3 1 2 2 1
1 12 2 1 2 2 1
1 16 3 0 2 2 1
1 12 2 1 2 2 1
1 12 3 1 2 2 1
1 16 3 1 1 2 1
0 16 1 0 1 2 1
1 6 3 1 2 2 1
0 9 4 0 2 2 1
1 9 4 1 3 2 1
1 12 3 0 3 2 1
1 0 2 1 4 2 1
1 6 2 1 4 2 1
1 9 4 0 4 2 1
1 12 4 0 4 2 1
0 3 3 1 5 2 1
1 6 3 0 5 2 1
1 9 3 0 5 2 1
1 0 3 1 6 2 1
0 14 2 0 1 2 1
0 16 3 0 1 2 1
0 12 1 0 1 2 1
0 16 3 0 2 2 1
0 16 2 0 2 2 1
1 16 3 0 2 2 1
1 12 3 0 3 2 1
0 16 2 0 3 2 1
1 9 3 0 4 2 1
1 12 3 1 1 2 1
0 14 3 1 1 2 1
1 13 3 1 1 2 1
1 12 3 1 2 2 1
1 12 2 1 2 2 1
1 12 4 1 2 2 1
0 12 2 1 3 2 1
1 12 3 1 3 2 1
1 12 4 1 4 2 1
1 0 1 1 5 2 1
1 6 1 0 6 2 1
0 12 4 0 3 2 1
1 12 3 0 2 2 1
1 16 4 0 1 2 1
1 14 3 0 1 2 1
1 12 2 1 1 2 1
1 14 4 1 1 2 1
1 14 3 1 1 2 1
1 14 3 1 1 2 1
1 12 3 1 2 2 1
1 0 1 1 4 2 1
1 12 2 0 2 2 1
1 13 3 1 1 2 1
0 13 3 1 1 2 1
1 9 3 1 2 2 1
0 12 3 1 2 2 1
1 9 2 1 3 2 1
1 9 2 1 3 2 1
0 12 3 0 1 2 1
0 12 3 0 1 2 1
0 16 4 0 3 2 1
1 6 2 0 3 2 1
1 16 2 0 3 2 1
1 12 2 0 4 2 1
1 9 3 0 6 2 1
0 12 4 1 2 2 1
1 12 3 0 2 2 1
1 0 1 0 6 2 1
1 12 3 1 1 2 1
0 14 3 1 1 2 1
1 13 3 1 1 2 1
0 14 3 1 1 2 1
1 12 2 1 1 2 1
0 12 3 1 1 2 1
1 16 3 1 1 2 1
0 12 2 1 1 2 1
1 12 2 1 2 2 1
1 12 3 1 2 2 1
1 12 2 1 2 2 1
0 12 3 1 2 2 1
1 16 3 1 2 2 1
1 12 2 1 2 2 1
1 12 4 1 2 2 1
1 6 2 1 3 2 1
1 12 3 1 3 2 1
1 12 3 1 3 2 1
1 16 2 1 3 2 1
1 12 3 1 4 2 1
0 9 4 1 5 2 1
0 13 3 0 1 2 1
0 16 3 0 1 2 1
1 14 2 0 1 2 1
1 14 3 0 1 2 1
1 15 4 0 1 2 1
1 14 2 0 1 2 1
0 14 3 0 1 2 1
0 14 3 0 1 2 1
0 12 2 0 2 2 1
1 16 2 0 2 2 1
1 14 3 0 2 2 1
1 16 2 0 2 2 1
1 12 1 0 2 2 1
1 20 4 0 2 2 1
1 12 3 0 3 2 1
1 14 2 0 3 2 1
1 12 3 0 3 2 1
1 12 2 0 3 2 1
1 12 3 0 3 2 1
0 12 2 0 4 2 1
1 0 3 0 4 2 1
1 6 2 0 4 2 1
0 12 4 0 5 2 1
0 2 2 0 5 2 1
1 12 2 0 5 2 1
0 13 3 0 1 2 1
0 14 1 0 1 2 1
1 12 3 0 1 2 1
1 12 3 0 2 2 1
1 14 3 0 1 2 1
1 16 2 0 2 2 1
1 12 2 0 2 2 1
1 12 2 0 2 2 1
0 12 2 0 2 2 1
0 12 3 0 2 2 1
0 14 3 0 2 2 1
0 14 4 0 3 2 1
0 12 2 0 3 2 1
1 12 3 0 3 2 1
0 16 3 0 3 2 1
0 16 4 0 3 2 1
0 12 2 0 3 2 1
0 6 3 0 4 2 1
1 9 2 0 4 2 1
1 9 1 0 5 2 1
0 9 2 0 5 2 1
1 6 2 0 5 2 1
1 9 4 0 5 2 1
1 4 3 0 6 2 1
1 0 2 0 6 2 1
0 13 3 1 1 2 1
1 12 4 1 1 2 1
1 12 2 1 1 2 1
0 16 2 1 1 2 1
1 12 3 1 1 2 1
1 16 4 1 1 2 1
1 14 3 1 1 2 1
0 12 3 1 2 2 1
0 14 3 1 2 2 1
1 12 2 1 2 2 1
1 12 4 1 2 2 1
1 12 1 1 2 2 1
1 14 4 1 2 2 1
0 3 1 1 3 2 1
1 12 3 1 3 2 1
0 12 3 1 3 2 1
1 6 2 1 4 2 1
1 6 3 1 4 2 1
1 0 3 1 4 2 1
1 9 3 1 4 2 1
0 0 1 1 5 2 1
0 6 3 1 5 2 1
NaN 0 2 1 6 2 1
1 12 3 0 1 2 1
0 16 2 0 1 2 1
0 12 3 0 1 2 1
0 14 3 0 2 2 1
1 14 3 0 2 2 1
0 12 1 0 3 2 1
0 12 3 0 4 2 1
0 9 4 0 4 2 1
0 12 3 1 1 2 1
0 12 2 1 1 2 1
1 12 3 1 2 2 1
0 9 2 1 3 2 1
1 6 3 1 3 2 1
1 1 3 1 5 2 1
1 9 3 1 5 2 1
1 6 3 1 6 2 1
0 12 2 0 3 2 1
1 16 4 0 2 2 1
1 14 3 1 2 2 1
1 11 4 0 1 2 1
1 14 3 0 1 2 1
0 14 3 0 1 2 1
0 16 3 0 1 2 1
0 12 3 1 1 2 1
1 14 3 1 1 2 1
1 12 2 1 1 2 1
0 12 3 1 1 2 1
1 12 3 0 2 2 1
1 16 3 0 2 2 1
1 16 4 0 2 2 1
1 9 1 0 2 2 1
1 12 4 1 2 2 1
0 16 5 1 2 2 1
0 16 3 1 2 2 1
1 16 3 1 2 2 1
1 12 3 0 3 2 1
1 12 1 0 3 2 1
0 19 4 0 3 2 1
1 16 3 1 3 2 1
0 12 3 1 3 2 1
1 12 3 1 3 2 1
0 14 3 0 4 2 1
1 12 3 1 4 2 1
0 16 5 1 4 2 1
0 12 3 0 5 2 1
1 6 3 1 5 2 1
1 4 3 0 6 2 1
1 12 3 0 1 2 1
0 13 2 1 1 2 1
1 12 1 0 1 2 1
0 14 4 0 1 2 1
1 12 3 0 1 2 1
1 12 3 1 1 2 1
1 12 3 1 1 2 1
1 16 3 0 2 2 1
0 14 2 0 2 2 1
0 16 3 1 2 2 1
1 12 3 1 2 2 1
1 12 2 1 2 2 1
1 14 1 0 3 2 1
1 12 2 0 3 2 1
1 12 2 1 3 2 1
1 12 2 1 3 2 1
1 9 4 1 3 2 1
1 6 2 0 4 2 1
1 6 1 1 4 2 1
1 6 2 1 5 2 1
1 12 4 0 1 2 1
0 12 3 1 1 2 1
1 12 3 0 2 2 1
1 12 3 1 2 2 1
1 12 3 0 3 2 1
1 12 3 1 3 2 1
0 16 3 0 4 2 1
1 12 3 1 4 2 1
1 9 3 0 5 2 1
1 18 3 0 5 2 1
1 6 3 0 6 2 1
NaN 0 2 1 6 2 1
1 12 3 0 1 2 1
1 12 2 1 1 2 1
0 16 3 0 1 2 1
0 12 3 0 1 2 1
0 12 3 1 1 2 1
0 16 3 1 1 2 1
1 12 2 0 2 2 1
1 16 2 0 2 2 1
1 12 3 1 2 2 1
1 12 2 1 2 2 1
0 14 2 0 3 2 1
1 16 3 0 3 2 1
1 12 4 1 3 2 1
0 12 3 1 3 2 1
1 6 2 0 4 2 1
1 6 1 1 4 2 1
1 0 3 1 5 2 1
0 6 3 0 6 2 1
1 13 2 0 1 2 1
0 12 4 0 1 2 1
0 13 2 1 1 2 1
1 16 3 1 1 2 1
1 13 4 1 1 2 1
1 14 3 0 2 2 1
1 13 3 0 2 2 1
0 16 3 0 2 2 1
1 12 2 1 2 2 1
1 14 1 1 2 2 1
1 12 3 0 3 2 1
1 12 3 0 3 2 1
1 12 2 1 3 2 1
1 16 3 0 4 2 1
1 6 1 0 4 2 1
1 9 2 1 4 2 1
0 6 3 1 4 2 1
1 12 1 0 5 2 1
1 4 1 0 5 2 1
1 6 3 1 5 2 1
1 5 3 1 5 2 1
1 0 2 1 6 2 1
1 13 3 1 1 2 1
1 12 4 1 1 2 1
0 13 2 1 1 2 1
1 12 1 1 1 2 1
1 14 3 1 1 2 1
1 12 4 1 2 2 1
1 12 4 1 2 2 1
0 12 3 1 2 2 1
0 12 3 1 3 2 1
1 9 3 1 3 2 1
1 12 1 1 3 2 1
1 14 3 1 4 2 1
0 6 4 1 5 2 1
1 0 1 1 6 2 1
1 14 4 0 1 2 1
1 12 3 0 1 2 1
1 16 3 0 1 2 1
1 16 3 0 1 2 1
0 12 3 0 1 2 1
1 16 1 0 2 2 1
1 16 2 0 2 2 1
1 12 3 0 2 2 1
1 16 3 0 2 2 1
1 6 3 0 3 2 1
1 12 5 0 3 2 1
1 9 3 0 4 2 1
1 6 4 0 5 2 1
1 6 3 0 4 2 1
1 12 3 0 3 2 1
0 12 2 0 3 2 1
0 16 3 0 2 2 1
1 16 3 0 2 2 1
0 16 3 0 2 2 1
1 16 4 0 2 2 1
0 16 3 0 1 2 1
1 12 3 0 1 2 1
1 13 3 0 1 2 1
1 12 3 1 2 2 1
1 9 2 1 3 2 1
0 6 2 1 4 2 1
1 9 1 1 4 2 1
0 3 1 1 4 2 1
NaN 0 2 1 5 2 1
1 6 1 1 6 2 1
NaN 0 1 1 6 2 1
1 12 3 1 2 2 1
1 12 3 1 1 2 1
1 12 3 1 2 2 1
1 13 3 1 1 2 1
1 12 4 0 1 2 1
1 12 3 0 1 2 1
1 12 3 0 1 2 1
0 16 4 0 2 2 1
0 16 1 0 3 2 1
1 16 3 0 3 2 1
1 9 4 0 4 2 1
0 12 4 0 4 2 1
1 9 1 0 5 2 1
1 6 3 0 5 2 1
1 9 2 0 5 2 1
1 10 3 0 6 2 1
0 16 3 0 1 2 1
0 12 3 1 1 2 1
1 12 3 1 1 2 1
0 15 3 1 1 2 1
0 12 3 1 1 2 1
1 12 3 1 2 2 1
1 12 3 1 4 2 1
1 13 3 1 2 2 1
1 12 2 1 3 2 1
1 12 3 1 3 2 1
0 12 3 1 3 2 1
0 9 1 1 4 2 1
1 9 4 1 5 2 1
1 6 2 1 3 2 1
0 16 2 0 3 2 1
1 9 3 0 5 2 1
1 0 2 0 5 2 1
1 6 2 0 4 2 1
1 9 1 1 4 2 1
0 13 3 0 1 2 1
1 16 3 1 1 2 1
1 12 2 0 1 2 1
1 0 1 1 4 2 1
1 9 3 1 2 2 1
1 16 4 1 2 2 1
1 12 2 1 4 2 1
0 12 3 1 1 2 1
0 12 3 0 1 2 1
1 0 2 0 5 2 1
0 16 2 0 2 2 1
1 12 2 0 4 2 1
1 0 1 1 6 2 1
0 6 1 0 3 2 1
0 12 2 1 3 2 1
1 9 2 0 4 2 1
1 9 3 0 5 2 1
NaN 9 1 1 3 2 1
1 9 4 1 3 2 1
1 16 2 0 2 2 1
1 12 4 0 3 2 1
1 14 4 0 1 2 1
1 12 1 1 2 2 1
1 12 2 1 1 2 1
1 0 2 1 6 2 1
1 0 1 1 6 2 1
1 12 2 0 2 2 1
1 12 3 0 1 2 1
1 12 2 0 2 2 1
0 16 3 1 1 2 1
0 12 1 0 3 2 1
1 0 2 1 6 2 1
1 12 4 1 1 2 1
0 12 2 0 5 2 1
1 12 3 1 2 2 1
1 9 4 1 4 2 1
1 9 4 1 3 2 1
0 15 3 0 1 2 1
0 13 4 0 1 2 1
1 15 1 1 1 2 1
1 12 3 0 2 2 1
1 12 3 1 2 2 1
1 16 5 0 4 2 1
1 12 3 1 5 2 1
1 15 3 1 1 2 1
0 16 3 0 1 2 1
1 12 3 1 2 2 1
1 13 3 1 1 2 1
1 12 3 0 2 2 1
1 15 3 0 4 2 1
1 9 3 0 5 2 1
1 12 3 1 3 2 1
1 12 2 1 2 2 1
0 12 2 0 2 2 1
1 12 2 0 1 2 1
1 15 3 1 1 2 1
0 15 3 0 3 2 1
0 12 2 1 4 2 1
1 12 3 0 5 2 1
1 12 3 0 1 2 1
0 12 3 1 1 2 1
1 16 3 0 2 2 1
1 12 3 1 2 2 1
1 16 2 0 3 2 1
1 9 3 1 3 2 1
1 9 4 0 4 2 1
1 6 4 1 4 2 1
1 6 2 1 5 2 1
1 6 2 0 6 2 1
1 12 3 0 3 2 1
NaN 6 2 1 5 2 1
1 13 3 0 2 2 1
1 12 2 0 4 2 1
1 9 2 1 3 2 1
0 13 3 0 1 2 1
